session,session_type,session_hour,session_quality,avg_hr,min_hr,max_hr,avg_hr_pct,min_hr_pct,max_hr_pct,exercise_duration,training_load,training_intensity,epoc_total,epoc_peak,aerobic_te_value,aerobic_te_comment,anaerobic_te_value,anaerobic_te_comment,ee_men,vo2,vo2_max,movement_load,movement_load_intensity,zone_0_d,zone_0_pct,zone_1_d,zone_1_pct,zone_2_d,zone_2_pct,zone_3_d,zone_3_pct,zone_4_d,zone_4_pct,zone_5_d,zone_5_pct,rest_hr,hr_std,sdnn,rmssd,pnn50,hr_recovery_60s,recovery_beats,acute_load,chronic_load,acwr
20250102_020135,Readiness,2,100,59.18,49.31,73.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.31,5.6,109.87,102.18,64.66,0.0,10.9,,,
20250102_105822,Training,10,100,85.17,68.12,161.92,37.03,29.62,70.4,126.75,114.154,0.9,21.97,0.39,0.45,No Effect,0.51,No Effect,563.79,23.88,53.06,31.47,0.25,7287000.0,95.78,159000.0,2.09,45000.0,0.59,24000.0,0.32,36000.0,0.47,57000.0,0.75,,,,,,,,114.154,114.154,1.0
20250104_011954,Readiness,1,100,58.35,45.14,69.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.14,5.58,117.95,87.65,52.59,0.0,9.2,114.154,114.154,1.0
20250105_020546,Readiness,2,100,54.02,44.51,74.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.51,8.19,166.23,119.84,62.39,0.0,26.3,114.154,114.154,1.0
20250105_050918,Training,5,100,87.71,69.0,134.49,38.14,30.0,58.47,75.95,70.663,0.93,65.6,1.04,1.39,Minor Effect,0.72,No Effect,367.04,21.07,46.83,20.67,0.27,3822000.0,83.82,288000.0,6.32,141000.0,3.09,174000.0,3.82,75000.0,1.64,60000.0,1.32,,,,,,,,92.408,92.408,1.0
20250106_031734,Readiness,3,100,53.49,41.2,76.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,8.79,177.54,131.71,65.81,0.0,27.8,92.408,92.408,1.0
20250106_113346,Training,11,100,123.91,90.32,199.7,53.87,39.27,86.83,65.85,77.393,1.174,55.52,1.02,1.1,Minor Effect,0.61,No Effect,677.96,29.69,55.12,20.2,0.31,3435000.0,86.87,282000.0,7.13,87000.0,2.2,72000.0,1.82,39000.0,0.99,39000.0,0.99,,,,,,,,87.403,87.403,1.0
20250107_010829,Readiness,1,100,53.2,45.22,70.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.22,6.82,151.82,120.91,63.56,0.0,16.3,87.403,87.403,1.0
20250107_111850,Training,11,100,100.89,70.47,181.29,43.86,30.64,78.82,130.4,174.26,1.336,139.0,1.58,3.91,Improving,0.42,No Effect,889.2,25.43,56.5,42.18,0.32,6648000.0,84.94,873000.0,11.15,270000.0,3.45,27000.0,0.34,6000.0,0.08,3000.0,0.04,,,,,,,,109.117,109.117,1.0
20250107_224225,Readiness,22,100,62.73,58.75,69.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.75,2.69,44.33,30.54,8.47,0.0,6.1,109.117,109.117,1.0
20250108_003224,Training,0,100,88.11,55.63,136.06,38.31,24.19,59.16,110.85,157.237,1.418,309.64,3.29,4.99,Highly Improving,0.83,No Effect,542.35,21.69,48.21,35.74,0.32,4749000.0,71.37,975000.0,14.65,450000.0,6.76,270000.0,4.06,150000.0,2.25,60000.0,0.9,,,,,,,,118.741,118.741,1.0
20250108_094335,Readiness,9,100,65.46,57.74,82.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.74,5.07,69.89,51.03,37.29,0.0,13.8,118.741,118.741,1.0
20250108_105643,Training,10,100,107.68,68.41,187.5,46.82,29.74,81.52,120.1,134.348,1.118,186.84,2.9,4.72,Highly Improving,0.71,No Effect,942.15,26.03,55.6,35.95,0.3,5502000.0,76.32,936000.0,12.98,342000.0,4.74,264000.0,3.66,135000.0,1.87,30000.0,0.42,,,,,,,,121.343,121.343,1.0
20250108_223820,Readiness,22,100,49.94,40.0,75.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,10.64,229.33,150.4,58.97,0.0,33.6,121.343,121.343,1.0
20250108_234137,Training,23,100,99.31,57.77,161.95,43.18,25.12,70.41,103.85,131.372,1.264,220.88,2.89,4.89,Highly Improving,1.28,Minor Effect,683.5,23.98,53.3,30.78,0.3,4161000.0,66.75,705000.0,11.31,513000.0,8.23,393000.0,6.3,285000.0,4.57,177000.0,2.84,,,,,,,,122.775,122.775,1.0
20250109_221808,Readiness,22,100,60.35,47.81,70.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.81,5.96,144.51,151.63,70.09,0.0,18.9,124.212,122.775,1.012
20250109_234609,Training,23,100,91.22,64.9,162.82,39.66,28.22,70.79,104.35,134.921,1.292,87.87,0.85,2.12,Maintaining,0.4,No Effect,559.37,24.68,54.84,30.76,0.29,5583000.0,89.13,426000.0,6.8,207000.0,3.3,42000.0,0.67,3000.0,0.05,3000.0,0.05,,,,,,,,125.742,124.294,1.012
20250110_112050,Training,11,100,108.65,76.72,186.77,47.24,33.36,81.2,80.65,70.856,0.878,63.7,1.45,1.36,Minor Effect,0.8,No Effect,644.6,26.17,55.4,20.81,0.26,4119000.0,85.07,246000.0,5.08,159000.0,3.28,147000.0,3.04,144000.0,2.97,27000.0,0.56,,,,,,,,118.881,118.356,1.004
20250110_220048,Readiness,22,100,50.98,40.29,79.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.29,9.37,194.88,143.53,67.23,0.0,24.9,118.881,118.356,1.004
20250110_233847,Training,23,100,123.17,93.45,184.44,53.55,40.63,80.19,172.15,287.035,1.667,395.81,1.97,5.0,Overloading,0.8,No Effect,1752.49,31.21,58.28,51.57,0.3,9015000.0,87.25,540000.0,5.23,252000.0,2.44,177000.0,1.71,171000.0,1.66,177000.0,1.71,,,,,,,,137.565,135.224,1.017
20250112_003350,Readiness,0,100,64.63,50.63,88.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.63,9.24,151.16,109.58,51.28,0.0,26.7,137.565,135.224,1.017
