session,avg_hr,min_hr,max_hr,rest_hr,avg_hr_pct,min_hr_pct,max_hr_pct,training_load,training_intensity,sdnn,rmssd,pnn50,epoc_total,epoc_peak,ee_men,vo2,vo2_max,movement_load,movement_load_intensity,session_type,session_hour,session_quality,recovery_beats,zone_0_d,zone_0_pct,zone_1_d,zone_1_pct,zone_2_d,zone_2_pct,zone_3_d,zone_3_pct,zone_4_d,zone_4_pct,zone_5_d,zone_5_pct,acute_load,chronic_load,acwr
20250102_105822,85.17,70.93,112.49,70.93,40.56,33.78,53.57,84.304,0.665,96.97,39.97,8.9,18.535,1.017,1.73,10.61,24.26,1817.05,14.34,Training,10,100.0,25.0,6180000,81.23,522000,6.86,162000,2.13,123000,1.62,111000,1.46,510000,6.7,84.304,84.304,1.0
20250105_050918,87.71,70.73,117.0,70.73,41.77,33.68,55.72,61.83,0.814,105.5,40.45,8.64,12.724,0.816,2.07,11.51,25.31,1294.94,17.05,Training,5,100.0,25.9,3318000,72.76,303000,6.64,264000,5.79,195000,4.28,111000,2.43,369000,8.09,61.83,61.83,1.0
20250106_113346,123.91,97.6,158.73,97.6,59.0,46.48,75.58,60.92,0.924,71.47,24.02,2.11,13.938,1.022,8.04,12.7,24.88,1748.15,26.55,Training,11,100.0,38.9,2802000,70.86,222000,5.61,225000,5.69,246000,6.22,165000,4.17,294000,7.44,60.92,60.92,1.0
20250107_111850,100.89,73.93,135.33,73.93,48.04,35.21,64.44,146.199,1.121,124.55,46.37,8.43,32.195,0.958,4.22,14.26,28.01,3530.79,27.08,Training,11,100.0,5.5,4656000,59.49,465000,5.94,540000,6.9,654000,8.36,672000,8.59,840000,10.73,146.199,146.199,1.0
20250108_003224,88.11,66.51,116.2,66.51,41.96,31.67,55.33,110.308,0.995,129.19,49.29,10.07,24.226,1.026,2.15,13.6,26.73,2431.7,21.94,Training,0,100.0,25.7,3903000,58.66,978000,14.7,636000,9.56,348000,5.23,285000,4.28,504000,7.57,226.339,100.409,2.254
20250108_105643,107.65,74.12,154.54,74.12,51.26,35.29,73.59,116.031,0.966,135.5,42.61,6.44,27.417,1.066,5.35,15.34,31.9,4047.76,33.7,Training,10,100.0,45.6,4662000,64.67,486000,6.74,567000,7.87,618000,8.57,348000,4.83,528000,7.32,226.339,100.409,2.254
20250108_234137,99.31,66.88,146.47,66.88,47.29,31.85,69.75,100.409,0.966,160.44,38.55,9.31,24.165,1.093,4.2,15.73,33.51,3395.69,32.7,Training,23,100.0,38.8,3894000,62.46,657000,10.54,438000,7.03,384000,6.16,342000,5.49,519000,8.33,226.339,100.409,2.254
20250109_234609,91.22,71.51,121.79,71.51,43.44,34.05,57.99,93.629,0.897,113.09,50.93,11.4,19.557,1.032,2.54,12.34,26.06,2078.2,19.92,Training,23,100.0,53.8,4293000,68.53,456000,7.28,432000,6.9,300000,4.79,252000,4.02,531000,8.48,93.629,93.629,1.0
20250110_112050,108.65,80.68,159.89,80.68,51.74,38.42,76.14,61.303,0.76,114.09,42.57,7.96,13.633,0.995,5.25,12.97,30.32,2267.62,28.12,Training,11,100.0,51.0,3657000,75.53,336000,6.94,255000,5.27,144000,2.97,114000,2.35,336000,6.94,61.303,149.802,0.409
20250110_233847,123.17,98.19,157.37,98.19,58.65,46.76,74.94,149.802,0.87,70.29,24.18,1.54,34.014,1.019,8.0,12.37,24.52,4341.92,25.22,Training,23,100.0,52.3,7173000,69.43,1209000,11.7,702000,6.79,408000,3.95,138000,1.34,702000,6.79,61.303,149.802,0.409
20250112_014833,78.22,60.61,99.12,60.61,37.25,28.86,47.2,103.429,1.03,122.47,48.68,18.21,22.713,1.021,1.16,13.34,25.02,1778.3,17.72,Training,1,100.0,12.0,3702000,61.45,573000,9.51,549000,9.11,414000,6.87,315000,5.23,471000,7.82,103.429,103.429,1.0
20250113_111853,122.05,79.89,164.26,79.89,58.12,38.04,78.22,161.53,1.207,118.34,40.66,5.94,38.46,1.069,7.88,17.47,31.46,5669.07,42.39,Training,11,100.0,36.2,3948000,49.18,1350000,16.82,843000,10.5,654000,8.15,429000,5.34,804000,10.01,161.53,93.561,1.726
20250113_233326,84.95,63.65,114.07,63.65,40.45,30.31,54.32,93.561,0.99,133.37,41.72,14.14,20.156,0.961,1.88,13.6,27.42,2023.35,21.41,Training,23,100.0,32.2,3690000,65.04,501000,8.83,393000,6.93,285000,5.02,261000,4.6,543000,9.57,161.53,93.561,1.726
20250114_113330,115.44,83.27,151.56,83.27,54.97,39.65,72.17,138.828,1.208,107.3,32.47,5.41,29.824,0.87,6.67,14.97,27.85,3723.4,32.42,Training,11,100.0,43.0,3780000,54.83,540000,7.83,615000,8.92,636000,9.23,519000,7.53,804000,11.66,138.828,138.828,1.0
20250116_113610,120.93,83.43,163.09,83.43,57.59,39.73,77.66,173.704,1.104,108.65,29.77,4.05,41.486,1.055,7.63,15.93,29.91,5924.59,37.68,Training,11,100.0,66.2,5127000,54.32,1293000,13.7,1050000,11.13,747000,7.91,390000,4.13,831000,8.8,173.704,112.805,1.54
20250116_231709,91.41,66.9,121.65,66.9,43.53,31.86,57.93,112.805,1.033,127.37,52.15,10.0,25.341,0.996,2.61,14.39,27.82,2694.7,24.7,Training,23,100.0,38.6,3939000,60.15,879000,13.42,480000,7.33,369000,5.63,318000,4.86,564000,8.61,173.704,112.805,1.54
20250117_112317,90.72,73.98,118.58,73.98,43.2,35.23,56.46,54.537,0.844,101.49,52.2,13.02,10.705,0.914,2.39,11.39,24.52,1088.84,16.86,Training,11,100.0,39.8,2775000,71.54,198000,5.1,228000,5.88,231000,5.96,126000,3.25,321000,8.28,54.537,224.794,0.243
20250117_231606,122.15,83.7,162.06,83.7,58.17,39.86,77.17,224.794,1.115,104.62,30.02,2.71,53.608,1.061,7.85,16.32,29.62,7818.79,38.8,Training,23,100.0,29.0,6534000,54.03,2061000,17.04,1020000,8.43,948000,7.84,609000,5.04,921000,7.62,54.537,224.794,0.243
20250119_234928,88.48,75.02,106.18,75.02,42.13,35.72,50.56,81.965,0.957,76.97,45.87,10.17,15.747,0.873,1.87,11.35,21.66,1170.47,13.67,Training,23,100.0,27.4,3318000,64.57,570000,11.09,378000,7.36,276000,5.37,213000,4.14,384000,7.47,81.965,81.965,1.0
20250120_111127,121.48,88.22,159.59,88.22,57.85,42.01,76.0,190.097,1.046,88.96,27.47,3.08,44.057,1.019,7.7,14.77,27.68,6093.47,33.54,Training,11,100.0,40.4,6573000,60.28,1527000,14.0,936000,8.58,564000,5.17,402000,3.69,903000,8.28,190.097,60.189,3.158
20250120_235021,85.03,71.28,104.75,71.28,40.49,33.94,49.88,60.189,0.971,88.29,43.01,11.56,10.986,0.788,1.58,11.3,22.48,860.29,13.89,Training,23,100.0,31.0,2415000,64.92,309000,8.31,258000,6.94,231000,6.21,150000,4.03,357000,9.6,190.097,60.189,3.158
20250121_120950,82.22,67.27,98.34,67.27,39.15,32.03,46.83,64.096,1.086,95.04,44.85,13.54,13.399,0.932,1.37,12.58,22.37,889.14,15.07,Training,12,100.0,5.9,1851000,52.24,474000,13.38,444000,12.53,333000,9.4,186000,5.25,255000,7.2,64.096,64.096,1.0
20250122_113437,136.33,93.18,171.17,93.18,64.92,44.37,81.51,172.568,1.402,86.62,28.9,3.48,40.914,1.037,10.38,17.11,28.11,5361.6,43.59,Training,11,100.0,52.0,2838000,38.44,1035000,14.02,1431000,19.38,750000,10.16,444000,6.01,885000,11.99,172.568,172.568,1.0
20250123_105014,107.72,78.69,150.29,78.69,51.29,37.47,71.57,188.814,0.922,115.51,28.19,4.45,44.67,1.058,5.19,13.93,29.22,5984.36,29.23,Training,10,100.0,38.5,8031000,65.36,1305000,10.62,813000,6.62,657000,5.35,495000,4.03,987000,8.03,188.814,188.814,1.0
20250124_113255,79.84,65.03,100.71,65.03,38.02,30.96,47.96,57.526,0.923,105.56,53.38,17.82,11.512,0.758,1.2,11.88,23.7,929.09,14.93,Training,11,100.0,32.6,2436000,65.17,381000,10.19,306000,8.19,186000,4.98,147000,3.93,282000,7.54,57.526,181.025,0.318
20250124_234934,121.18,96.43,152.6,96.43,57.7,45.92,72.66,181.025,0.984,74.57,24.97,2.86,40.098,1.017,7.64,12.63,24.21,4631.33,25.19,Training,23,100.0,51.8,6951000,63.0,1257000,11.39,858000,7.78,699000,6.33,441000,4.0,828000,7.5,57.526,181.025,0.318
20250126_231127,85.98,63.03,107.04,63.03,40.94,30.01,50.97,167.629,1.278,124.97,65.45,15.69,36.765,0.952,1.8,15.22,25.99,3026.66,23.09,Training,23,100.0,16.7,3432000,43.61,1101000,13.99,1101000,13.99,1011000,12.85,525000,6.67,699000,8.88,167.629,167.629,1.0
20250127_111535,114.38,82.26,154.85,82.26,54.47,39.17,73.74,173.532,0.96,98.57,29.61,3.57,41.01,1.054,6.32,14.7,28.8,5842.43,32.32,Training,11,100.0,23.9,7041000,64.91,1431000,13.19,783000,7.22,483000,4.45,288000,2.65,822000,7.58,173.532,84.141,2.062
20250127_232632,78.01,61.64,102.49,61.64,37.15,29.35,48.8,84.141,0.888,117.39,50.67,19.07,17.363,1.002,1.12,12.29,25.44,1560.49,16.47,Training,23,100.0,32.7,3999000,70.31,486000,8.54,333000,5.85,210000,3.69,174000,3.06,486000,8.54,173.532,84.141,2.062
20250128_121418,119.89,86.08,148.13,86.08,57.09,40.99,70.54,79.579,1.481,94.22,32.65,6.36,17.084,0.805,7.55,15.94,26.33,1830.1,34.08,Training,12,100.0,49.1,1503000,46.6,240000,7.44,273000,8.47,327000,10.14,408000,12.65,474000,14.7,79.579,79.579,1.0
20250129_111018,107.2,75.51,145.62,75.51,51.05,35.96,69.34,97.286,1.022,117.12,40.78,8.28,22.906,1.058,5.11,15.26,29.51,3035.14,31.92,Training,11,100.0,36.4,3225000,56.49,1020000,17.87,375000,6.57,438000,7.67,198000,3.47,453000,7.93,97.286,17.08,5.696
20250129_131934,125.48,105.58,158.76,105.58,59.75,50.28,75.6,17.08,0.839,75.82,26.0,1.27,3.945,1.007,8.46,10.8,23.01,413.23,20.16,Light Activity,13,99.3,54.6,840000,68.13,129000,10.46,57000,4.62,90000,7.3,33000,2.68,84000,6.81,97.286,17.08,5.696
20250130_231752,81.75,64.38,106.12,64.38,38.93,30.66,50.53,116.859,0.9,111.9,57.38,15.64,24.119,0.955,1.42,12.54,25.22,2271.43,17.51,Training,23,100.0,35.9,5373000,68.99,753000,9.67,492000,6.32,270000,3.47,282000,3.62,618000,7.94,116.859,116.859,1.0
20250201_114212,127.57,108.69,166.32,108.69,60.75,51.76,79.2,59.09,0.703,57.56,12.82,0.54,12.946,1.002,8.76,10.02,23.41,1598.02,19.02,Training,11,100.0,48.0,3924000,77.81,294000,5.83,198000,3.93,177000,3.51,90000,1.78,360000,7.14,59.09,59.09,1.0
20250204_114106,79.07,59.71,98.49,59.71,37.65,28.43,46.9,33.285,1.266,131.26,65.67,25.33,7.181,0.705,1.18,14.35,25.24,512.44,19.52,Light Activity,11,100.0,34.2,789000,50.0,195000,12.36,168000,10.65,120000,7.6,108000,6.84,198000,12.55,33.285,100.837,0.33
20250204_232337,76.6,51.5,109.86,51.5,36.47,24.52,52.32,100.837,0.951,194.5,79.44,27.14,22.903,1.022,1.33,16.03,32.64,2676.19,25.25,Training,23,100.0,34.3,4089000,64.26,738000,11.6,519000,8.16,300000,4.71,225000,3.54,492000,7.73,33.285,100.837,0.33
20250205_114126,115.39,80.06,177.6,80.06,54.95,38.12,84.57,67.647,0.939,138.14,36.21,6.05,16.636,0.986,6.1,14.53,33.94,2557.22,35.52,Training,11,100.0,52.2,3093000,71.55,162000,3.75,108000,2.5,150000,3.47,279000,6.45,531000,12.28,67.647,67.647,1.0
20250206_231915,70.76,56.89,86.18,56.89,33.69,27.09,41.04,35.078,1.103,122.88,83.0,30.72,7.152,0.638,0.65,12.82,23.18,445.63,14.04,Training,23,100.0,12.8,1062000,55.66,234000,12.26,186000,9.75,174000,9.12,84000,4.4,168000,8.81,135.991,135.991,1.0
20250206_235241,104.64,63.15,143.06,63.15,49.83,30.07,68.13,100.913,1.278,153.43,36.78,7.95,24.339,1.094,4.93,19.68,34.66,3288.69,41.68,Training,23,100.0,50.0,2319000,48.96,741000,15.64,411000,8.68,351000,7.41,405000,8.55,510000,10.77,135.991,135.991,1.0
20250207_111426,96.6,76.69,135.18,76.69,46.0,36.52,64.37,55.13,0.705,104.7,56.29,10.99,10.957,0.889,3.21,11.49,26.97,1575.19,20.16,Training,11,100.0,47.8,3717000,79.22,246000,5.24,171000,3.64,156000,3.32,96000,2.05,306000,6.52,55.13,218.133,0.253
20250207_232319,116.46,70.16,158.31,70.16,55.45,33.41,75.38,218.133,1.324,146.28,36.88,6.02,53.68,1.089,7.03,19.79,34.52,7669.42,46.55,Training,23,100.0,56.4,4527000,45.78,1641000,16.6,849000,8.59,873000,8.83,909000,9.19,1089000,11.01,55.13,218.133,0.253
20250209_231801,74.32,56.11,93.42,56.11,35.39,26.72,44.49,149.515,1.179,144.39,78.93,25.27,32.031,0.988,0.9,14.23,25.48,2328.82,18.37,Training,23,100.0,22.6,4005000,52.64,888000,11.67,783000,10.29,681000,8.95,507000,6.66,744000,9.78,149.515,149.515,1.0
20250210_111852,116.63,82.01,153.19,82.01,55.54,39.05,72.95,184.444,1.112,102.67,32.33,3.95,43.428,1.033,6.82,15.7,28.58,5787.93,34.9,Training,11,100.0,51.8,5049000,50.72,1923000,19.32,1173000,11.78,570000,5.73,378000,3.8,861000,8.65,184.444,45.913,4.017
20250210_235324,81.33,66.78,101.14,66.78,38.73,31.8,48.16,45.913,0.911,94.75,50.21,13.17,9.013,0.775,1.28,11.83,23.17,739.85,14.69,Training,23,100.0,31.9,1992000,65.87,303000,10.02,270000,8.93,162000,5.36,99000,3.27,198000,6.55,184.444,45.913,4.017
20250214_000847,77.65,63.97,98.14,63.97,36.98,30.46,46.73,54.426,0.828,99.78,54.07,14.72,10.937,0.787,1.04,11.49,23.47,906.87,13.81,Training,0,100.0,35.2,2805000,71.16,477000,12.1,189000,4.79,102000,2.59,90000,2.28,279000,7.08,76.145,88.307,0.862
20250214_114434,83.59,69.13,100.32,69.13,39.8,32.92,47.77,21.719,1.052,90.04,70.69,16.6,4.229,0.776,1.4,12.17,22.2,302.64,14.69,Light Activity,11,100.0,31.8,726000,58.6,180000,14.53,90000,7.26,75000,6.05,69000,5.57,99000,7.99,76.145,88.307,0.862
20250214_232953,78.92,61.35,109.5,61.35,37.58,29.21,52.15,88.307,0.744,134.24,66.91,17.51,19.758,1.032,1.35,12.19,27.31,2102.95,17.72,Training,23,100.0,19.2,5304000,74.47,633000,8.89,378000,5.31,228000,3.2,126000,1.77,453000,6.36,76.145,88.307,0.862
